Date,Ticker,Karash_Score,Karash_Signal,Return_Next
2024-01-18,MELI,34.19,BEKLE,0.038634617559827555
2024-01-19,MELI,39.26,BEKLE,0.01744310211734046
2024-01-22,MELI,37.27,BEKLE,0.002055449098217199
2024-01-23,MELI,16.65,BEKLE,0.001585261142901473
2024-01-24,MELI,30.67,BEKLE,-0.013558690081009517
2024-01-25,MELI,-9.52,BEKLE,0.03278122751285606
2024-01-26,MELI,16.05,BEKLE,-0.010229421214892565
2024-01-29,MELI,-1.08,BEKLE,-0.023702763883649336
2024-01-30,MELI,-6.83,BEKLE,-0.013536558274310106
2024-01-31,MELI,-6.67,BEKLE,0.02130491669916057
2024-02-01,MELI,9.07,BEKLE,0.014082409399305051
2024-02-02,MELI,14.42,BEKLE,0.001043474285330248
2024-02-05,MELI,8.81,BEKLE,-0.036264254318389866
2024-02-06,MELI,-23.48,BEKLE,0.002034612245713552
2024-02-07,MELI,-18.53,BEKLE,0.011062659940086927
2024-02-08,MELI,-0.68,BEKLE,0.005441996012354178
2024-02-09,MELI,4.18,BEKLE,-0.005182940115861179
2024-02-12,MELI,-1.01,BEKLE,-0.015572076722949135
2024-02-13,MELI,-22.54,BEKLE,0.023519554759292793
2024-02-14,MELI,1.28,BEKLE,0.01457878972307447
2024-02-15,MELI,45.06,BEKLE,-0.001721342811363047
2024-02-16,MELI,40.99,BEKLE,-0.016265459274032334
2024-02-20,MELI,5.66,BEKLE,-0.0012873433036610926
2024-02-21,MELI,8.8,BEKLE,0.04615683320347297
2024-02-22,MELI,38.37,BEKLE,-0.10377453888741017
2024-02-23,MELI,-28.25,BEKLE,-0.011777884049082532
2024-02-26,MELI,-25.98,BEKLE,-0.0016707119725766217
2024-02-27,MELI,-19.57,BEKLE,-0.017387866539774643
2024-02-28,MELI,-5.26,BEKLE,0.01000959720637673
2024-02-29,MELI,-17.62,BEKLE,0.010938350553360454
2024-03-01,MELI,-20.26,BEKLE,-0.03265852980642536
2024-03-04,MELI,19.11,BEKLE,-0.021018100299878495
2024-03-05,MELI,-37.1,BEKLE,-0.0011131305768425914
2024-03-06,MELI,18.75,BEKLE,0.002851339929729191
2024-03-07,MELI,17.25,BEKLE,-0.011399101974042258
2024-03-08,MELI,16.94,BEKLE,0.023021452091942063
2024-03-11,MELI,18.34,BEKLE,-0.0011373780190278016
2024-03-12,MELI,17.31,BEKLE,0.0032738530575391334
2024-03-13,MELI,18.65,BEKLE,0.006868236220091806
2024-03-14,MELI,15.7,BEKLE,-0.03955754545531309
2024-03-15,MELI,1.9,BEKLE,0.0063621042876473854
2024-03-18,MELI,9.23,BEKLE,0.0068850549961503305
2024-03-19,MELI,7.67,BEKLE,0.006186506065756436
2024-03-20,MELI,23.05,BEKLE,0.017562319265725712
2024-03-21,MELI,28.91,BEKLE,0.010477697640309147
2024-03-22,MELI,37.02,BEKLE,-0.01394413710105391
2024-03-25,MELI,21.45,BEKLE,-0.008135107310319412
2024-03-26,MELI,7.96,BEKLE,-0.009632729891975056
2024-03-27,MELI,-31.6,BEKLE,-0.007020696355143241
2024-01-02,FCNCA,27.28,BEKLE,-0.026090231677364017
2024-01-03,FCNCA,-30.57,BEKLE,-0.009248422189808814
2024-01-04,FCNCA,-11.1,BEKLE,-0.0029675295263416057
2024-01-05,FCNCA,-10.05,BEKLE,0.025812147386381046
2024-01-08,FCNCA,38.7,BEKLE,-0.020733087093377622
2024-01-09,FCNCA,7.95,BEKLE,0.0077166582117955684
2024-01-10,FCNCA,22.66,BEKLE,-0.001912632294066019
2024-01-11,FCNCA,22.39,BEKLE,-0.003710953235466441
2024-01-12,FCNCA,12.8,BEKLE,-0.009825002782522518
2024-01-16,FCNCA,8.56,BEKLE,-0.004189375199088241
2024-01-17,FCNCA,3.78,BEKLE,0.008370481586905454
2024-01-18,FCNCA,20.28,BEKLE,0.017518169973676834
2024-01-19,FCNCA,24.32,BEKLE,0.018528951152767537
2024-01-22,FCNCA,34.68,BEKLE,0.00909598032694503
2024-01-23,FCNCA,42.4,BEKLE,-0.01742063036917718
2024-01-24,FCNCA,19.77,BEKLE,-0.007874182801650753
2024-01-25,FCNCA,18.09,BEKLE,0.05506193953231109
2024-01-26,FCNCA,27.2,BEKLE,-0.003590364553538561
2024-01-29,FCNCA,8.68,BEKLE,0.03511517156905275
2024-01-30,FCNCA,32.19,BEKLE,-0.017547367730412322
2024-01-31,FCNCA,19.68,BEKLE,-0.01604629656919032
2024-02-01,FCNCA,-23.99,BEKLE,0.02280292698299058
2024-02-02,FCNCA,-6.53,BEKLE,0.00972591703664838
2024-02-05,FCNCA,-9.5,BEKLE,-0.03348485223412312
2024-02-06,FCNCA,-11.66,BEKLE,0.0006609271050852517
2024-02-07,FCNCA,-9.7,BEKLE,-0.003982464893318882
2024-02-08,FCNCA,-6.85,BEKLE,0.011291416630129447
2024-02-09,FCNCA,5.45,BEKLE,-0.0018733300641806672
2024-02-12,FCNCA,0.84,BEKLE,-0.008116419151315224
2024-02-13,FCNCA,-4.98,BEKLE,0.008811347725689922
2024-02-14,FCNCA,-6.21,BEKLE,0.02744251668167319
2024-02-15,FCNCA,4.81,BEKLE,-0.012334447218687594
2024-02-16,FCNCA,8.38,BEKLE,-0.003254087342015266
2024-02-20,FCNCA,-12.47,BEKLE,0.008694956474601945
2024-02-21,FCNCA,47.36,BEKLE,-0.001339465359888048
2024-02-22,FCNCA,36.49,BEKLE,0.008842198385849986
2024-02-23,FCNCA,35.97,BEKLE,0.022416277461432044
2024-02-26,FCNCA,29.5,BEKLE,0.013467141510428604
2024-02-27,FCNCA,30.79,BEKLE,-0.01397546755581236
2024-02-28,FCNCA,24.48,BEKLE,0.004801150835768819
2024-02-29,FCNCA,29.83,BEKLE,-0.003914246222379125
2024-03-01,FCNCA,26.12,BEKLE,-0.00373158306132626
2024-03-04,FCNCA,-14.8,BEKLE,0.025195259813771465
2024-03-05,FCNCA,53.22,AL,-0.018168170778174897
2024-03-06,FCNCA,-11.78,BEKLE,-0.0033397672009995993
2024-03-07,FCNCA,-4.16,BEKLE,-0.008431119734067516
2024-03-08,FCNCA,-15.91,BEKLE,-0.030799274725529124
2024-03-11,FCNCA,-28.05,BEKLE,0.02863017998632178
2024-03-12,FCNCA,-8.31,BEKLE,0.0003938180504949873
2024-03-13,FCNCA,-11.49,BEKLE,-0.011920128928811335
2024-03-14,FCNCA,-10.64,BEKLE,0.007772777181191959
2024-03-15,FCNCA,-8.22,BEKLE,0.004238742449203636
2024-03-18,FCNCA,34.39,BEKLE,-0.0009294536419696131
2024-03-19,FCNCA,22.74,BEKLE,0.021233756124058756
2024-03-20,FCNCA,34.44,BEKLE,0.020722926443411005
2024-03-21,FCNCA,29.36,BEKLE,-0.008304323659354629
2024-03-22,FCNCA,25.63,BEKLE,0.002068492673120037
2024-03-25,FCNCA,31.14,BEKLE,-0.0023636649470953897
2024-03-26,FCNCA,20.3,BEKLE,0.010707843447596677
2024-03-27,FCNCA,30.95,BEKLE,0.011206928068732358
2024-01-02,KLAC,-12.97,BEKLE,-0.013918929701339233
2024-01-03,KLAC,-19.95,BEKLE,-0.011129319402699123
2024-01-04,KLAC,-22.03,BEKLE,-0.00389806325308395
2024-01-05,KLAC,-17.72,BEKLE,0.033161391678580676
2024-01-08,KLAC,-7.35,BEKLE,-0.010704977620488498
2024-01-09,KLAC,-16.4,BEKLE,-0.00044941874243331625
2024-01-10,KLAC,23.16,BEKLE,0.0108795639748831
2024-01-11,KLAC,18.47,BEKLE,-0.002721649124842518
2024-01-12,KLAC,19.68,BEKLE,0.011059441949452742
2024-01-16,KLAC,22.76,BEKLE,-0.007604103810338714
2024-01-17,KLAC,9.83,BEKLE,0.04888894054510362
2024-01-18,KLAC,34.34,BEKLE,0.0389661665392802
2024-01-19,KLAC,33.19,BEKLE,0.0164928493424763
2024-01-22,KLAC,34.23,BEKLE,-0.006050423023109319
2024-01-23,KLAC,33.12,BEKLE,0.03087208555255949
2024-01-24,KLAC,25.82,BEKLE,0.005074782303615244
2024-01-25,KLAC,38.13,BEKLE,-0.0659509011776539
2024-01-26,KLAC,-16.02,BEKLE,0.0011846526515448819
2024-01-29,KLAC,-6.98,BEKLE,-0.00788224351272604
2024-01-30,KLAC,-13.61,BEKLE,-0.0022005162143695634
2024-01-31,KLAC,-19.49,BEKLE,0.008517972268359042
2024-02-01,KLAC,-5.52,BEKLE,0.008713128152597172
2024-02-02,KLAC,-5.05,BEKLE,0.01747413128725883
2024-02-05,KLAC,-3.79,BEKLE,-0.021565081655738005
2024-02-06,KLAC,-16.26,BEKLE,0.01210067165797657
2024-02-07,KLAC,-3.15,BEKLE,0.015749596548883193
2024-02-08,KLAC,-2.74,BEKLE,0.050623567439606276
2024-02-09,KLAC,51.32,AL,-0.0026932153383497637
2024-02-12,KLAC,46.15,BEKLE,-0.010770847672665562
2024-02-13,KLAC,28.29,BEKLE,0.019919813266698894
2024-02-14,KLAC,35.99,BEKLE,-1.547462643358699e-05
2024-02-15,KLAC,32.52,BEKLE,0.013749656428217572
2024-02-16,KLAC,37.78,BEKLE,-0.01448540703358503
2024-02-20,KLAC,-16.72,BEKLE,0.00023019552917857844
2024-02-21,KLAC,-2.25,BEKLE,0.04885573766703355
2024-02-22,KLAC,38.64,BEKLE,-0.021863998707088106
2024-02-23,KLAC,-6.46,BEKLE,0.02242726202391432
2024-02-26,KLAC,14.37,BEKLE,-0.009124903058551626
2024-02-27,KLAC,-5.09,BEKLE,-0.006759483396584831
2024-02-28,KLAC,-11.6,BEKLE,0.013818556941328053
2024-02-29,KLAC,8.99,BEKLE,0.05169292055542907
2024-03-01,KLAC,38.3,BEKLE,0.0003345175101681086
2024-03-04,KLAC,46.61,BEKLE,-0.016633949151084626
2024-03-05,KLAC,32.57,BEKLE,0.013585986399931471
2024-03-06,KLAC,-3.76,BEKLE,0.010901874231453057
2024-03-07,KLAC,1.84,BEKLE,-0.03325204580648056
2024-03-08,KLAC,-8.88,BEKLE,-0.01977920091304164
2024-03-11,KLAC,-6.69,BEKLE,0.01899664433180326
2024-03-12,KLAC,3.53,BEKLE,-0.013874628307537495
2024-03-13,KLAC,-9.87,BEKLE,0.0052563312823763475
2024-03-14,KLAC,6.11,BEKLE,-0.012176563536331786
2024-03-15,KLAC,-8.98,BEKLE,0.00994310746152638
2024-03-18,KLAC,-1.97,BEKLE,-0.013956786064756144
2024-03-19,KLAC,-7.06,BEKLE,0.021863199162055702
2024-03-20,KLAC,39.9,BEKLE,0.02468539993472274
2024-03-21,KLAC,41.11,BEKLE,-0.0036038331699880244
2024-03-22,KLAC,36.56,BEKLE,-0.015241358763685708
2024-03-25,KLAC,21.55,BEKLE,-0.01616345644928463
2024-03-26,KLAC,11.76,BEKLE,0.012274488937099592
2024-03-27,KLAC,27.44,BEKLE,0.0024393722934556994
2024-01-02,ASML,-38.39,BEKLE,-0.018900255654414
2024-01-03,ASML,-35.88,BEKLE,-0.004378939652178504
2024-01-04,ASML,-19.36,BEKLE,0.004355386663507543
2024-01-05,ASML,-21.24,BEKLE,0.024881190033380074
2024-01-08,ASML,-15.78,BEKLE,-0.006783634226262714
2024-01-09,ASML,-22.41,BEKLE,0.0025698454175036023
2024-01-10,ASML,15.61,BEKLE,0.0010309303416902171
2024-01-11,ASML,9.43,BEKLE,-0.007389949273418628
2024-01-12,ASML,9.03,BEKLE,-0.009422070973157504
2024-01-16,ASML,-7.27,BEKLE,0.008166880361806239
2024-01-17,ASML,14.76,BEKLE,0.04529199146041418
2024-01-18,ASML,39.42,BEKLE,0.01786356674423173
2024-01-19,ASML,45.87,BEKLE,0.011678052131435246
2024-01-22,ASML,46.13,BEKLE,0.015273765188400512
2024-01-23,ASML,37.93,BEKLE,0.08854155405897779
2024-01-24,ASML,35.37,BEKLE,0.025693191367184287
2024-01-25,ASML,38.13,BEKLE,-0.0015303710299859885
2024-01-26,ASML,19.37,BEKLE,0.01713628651012522
2024-01-29,ASML,19.94,BEKLE,-0.016530355533220686
2024-01-30,ASML,29.7,BEKLE,0.0020622312884410743
2024-01-31,ASML,-9.37,BEKLE,0.023820885241933265
2024-02-01,ASML,-3.89,BEKLE,0.00013480489511152882
2024-02-02,ASML,-3.93,BEKLE,0.010612879998314728
2024-02-05,ASML,-4.44,BEKLE,0.007067084711047222
2024-02-06,ASML,-4.8,BEKLE,0.019162554822111044
2024-02-07,ASML,7.52,BEKLE,0.0007698210709135012
2024-02-08,ASML,-7.3,BEKLE,0.028885927331397276
2024-02-09,ASML,9.98,BEKLE,-0.02147219847692583
2024-02-12,ASML,-3.91,BEKLE,-0.02786242540748496
2024-02-13,ASML,-3.56,BEKLE,0.023380474829642672
2024-02-14,ASML,9.62,BEKLE,0.005841432636140009
2024-02-15,ASML,3.33,BEKLE,-0.0009679515361755708
2024-02-16,ASML,6.72,BEKLE,-0.02085178537877952
2024-02-20,ASML,-4.8,BEKLE,-0.001495058303853436
2024-02-21,ASML,6.92,BEKLE,0.04805045167598587
2024-02-22,ASML,16.79,BEKLE,-0.019540893272390725
2024-02-23,ASML,9.46,BEKLE,0.015365764561579898
2024-02-26,ASML,51.86,AL,-0.006564100543692386
2024-02-27,ASML,39.45,BEKLE,-0.0019864191405857268
2024-02-28,ASML,25.14,BEKLE,0.012964213092087506
2024-02-29,ASML,46.59,BEKLE,0.04125340880932438
2024-03-01,ASML,31.55,BEKLE,0.007164933493860159
2024-03-04,ASML,36.0,BEKLE,-0.029257283320218264
2024-03-05,ASML,24.2,BEKLE,0.036218558693403846
2024-03-06,ASML,35.11,BEKLE,0.04329001377654618
2024-03-07,ASML,35.93,BEKLE,-0.0506594195330663
2024-03-08,ASML,23.85,BEKLE,-0.03184060505190711
2024-03-11,ASML,-16.31,BEKLE,0.022458439215810033
2024-03-12,ASML,-4.46,BEKLE,-0.015757610315125015
2024-03-13,ASML,-6.54,BEKLE,-0.009289935428005824
2024-03-14,ASML,-19.96,BEKLE,-0.020390063967773098
2024-03-15,ASML,-30.02,BEKLE,0.0012018721701969604
2024-03-18,ASML,-13.2,BEKLE,0.011228618776444987
2024-03-19,ASML,-10.11,BEKLE,0.019970352897004773
2024-03-20,ASML,37.45,BEKLE,0.020465072522067418
2024-03-21,ASML,37.04,BEKLE,-0.010930520431862711
2024-03-22,ASML,36.04,BEKLE,-0.001051148818989378
2024-03-25,ASML,18.39,BEKLE,-0.007794313564967181
2024-03-26,ASML,5.7,BEKLE,0.002790153369070847
2024-03-27,ASML,7.95,BEKLE,-0.0036345788832978787
